"Progress","Duration..in.seconds.","Finished","UserLanguage","I2_1","I2_2","E3","E4","Cnos","Cnos_3_TEXT","Calto.","Calto._3_TEXT","Cbajo","Cbajo_3_TEXT","Tnos.","Tnos._3_TEXT","Talto.","Talto._3_TEXT","Tbajo","Tbajo_3_TEXT","P0_time_First.Click","P0_time_Last.Click","P0_time_Page.Submit","P0_time_Click.Count","Cnos_deu_fac.","Cnos_deu_fac._4_TEXT","Cdeu_fac.","Cdeu_fac._4_TEXT","Tnos_deu_fac.","Tnos_deu_fac._4_TEXT","Tdeu_fac.","Tdeu_fac._4_TEXT","Cnos_deu.","Cnos_deu._4_TEXT","Calto_deu","Calto_deu_4_TEXT","Cbajo_deu.","Cbajo_deu._4_TEXT","Tnos_deu.","Tnos_deu._4_TEXT","Talto_deu","Talto_deu_4_TEXT","Tbajo_deu.","Tbajo_deu._4_TEXT","Cnos_deu_min.","Cnos_deu_min._4_TEXT","Calto_deu_min","Calto_deu_min_4_TEXT","Cbajo_deu_min.","Cbajo_deu_min._4_TEXT","Tnos_deu_min.","Tnos_deu_min._4_TEXT","Talto_deu_min","Talto_deu_min_4_TEXT","Tbajo_deu_min.","Tbajo_deu_min._4_TEXT","Cnos_deu.min.","Cnos_deu.min._4_TEXT","Calto_deu.min","Calto_deu.min_4_TEXT","Cbajo_deu.min.","Cbajo_deu.min._4_TEXT","Tnos_deu.min.","Tnos_deu.min._4_TEXT","Talto_deu.min.","Talto_deu.min._4_TEXT","Tbajo_deu.min.","Tbajo_deu.min._4_TEXT","Cnos_int_fac.","Cnos_int_fac._4_TEXT","Cint_fac.","Cint_fac._4_TEXT","Tnos_int_fac.","Tnos_int_fac._4_TEXT","Tint_fac.","Tint_fac._4_TEXT","Cnos_int.","Cnos_int._20_TEXT","Calto_int","Calto_int_20_TEXT","Cbajo_int.","Cbajo_int._20_TEXT","Tnos_int.","Tnos_int._20_TEXT","Talto_int","Talto_int_20_TEXT","Tbajo_int.","Tbajo_int._20_TEXT","Cnos_int_min.","Cnos_int_min._4_TEXT","Calto_int_min","Calto_int_min_4_TEXT","Cbajo_int_min.","Cbajo_int_min._4_TEXT","Tnos_int_min.","Tnos_int_min._4_TEXT","Talto_int_min","Talto_int_min_4_TEXT","Tbajo_int_min.","Tbajo_int_min._4_TEXT","Cnos_int.min.","Cnos_int.min._4_TEXT","Calto_int.min","Calto_int.min_4_TEXT","Cbajo_int.min.","Cbajo_int.min._4_TEXT","Tnos_int.min.","Tnos_int.min._4_TEXT","Talto_int.min.","Talto_int.min._4_TEXT","Tbajo_int.min.","Tbajo_int.min._4_TEXT","P1_time._First.Click","P1_time._Last.Click","P1_time._Page.Submit","P1_time._Click.Count","TC1._1","TC1._2","TC1._3","TC1._4","TC1._5","TC1._6","TC2.","TC2._8_TEXT","LF1.","LF2.","LF3.","PS1._1","PS1._2","DS1.","C1.","C1._10_TEXT","C2.","C3.","PA1","ticket","treat","fac","min","saldo","s","g","int","deuda","int2","deuda2","pago"
"100","319","True","ES","Sí","Sí","Usé 3 o más tarjetas de crédito","Hace menos de un mes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Otro monto:
A mayor monto, pagarás menos intereses adicionales. Pagarás gastos de cobranza si pagas menos que el mínimo.
","200000","31.674","47.464","48.876","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Otro monto:
A mayor monto, pagarás menos intereses adicionales. Pagarás gastos de cobranza si pagas menos que el mínimo.",2e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","18.779","0","Casi siempre4","A veces3","A veces3","Nunca1","Nunca1","A veces3","De forma digital (aplicación o página Web) de su banco o casa comercial",NA,"Falso","No estoy seguro/a","$ 12.000","4","6","Compra en la tienda","Empleado/a",NA,"De $500.001 a $1.000.000","Algún estudio universitario o técnico (incompleto)","los gastos en medicamentos y medicos ","4a7569402c55f071_194fcf79a1c3965a_044bf447a47bf724_97d32f9ae96cd66f1abd55e73b1c1b7d","Tint",282026,42304,"211520","2","5","2674","84700","29393","111419","200000"
"100","915","True","ES","Sí","Sí","Usé 2 tarjetas de crédito","Hace menos de un mes",NA,NA,NA,NA,"Otro monto:","150000",NA,NA,NA,NA,NA,NA,"5.454","20.808","35.07","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Otro monto:",150000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.586","11.911","35.042","2","Siempre5","Nunca1","Nunca1","Nunca1","Nunca1","Nunca1","De forma digital (aplicación o página Web) de su banco o casa comercial",NA,"Falso","Valdrían lo mismo","$ 1.000","Nada
1
","Mucho
7
","Compra en la tienda","Empleado/a",NA,"De $500.001 a $1.000.000","Título universitario o técnico","El saldo disponible en mi cuenta corriente","8a048df686d21c29_194fcf79a1c3965a_b7898907d2975f55_29139d6fad70cf04cf99807aca35e96c","Cdeu",282026,42304,"211520","1","3","4304","136330","31838","163864","150000"
"100","1345","True","ES","Sí","Sí","Usé una sola tarjeta de crédito","Hace menos de un mes",NA,NA,NA,NA,NA,NA,"Otro monto:
A mayor monto, pagarás menos intereses adicionales. Pagarás gastos de cobranza si pagas menos que el mínimo.
","45000",NA,NA,NA,NA,"42.073","43.552","110.341","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Otro monto:
A mayor monto, pagarás menos intereses adicionales. Pagarás gastos de cobranza si pagas menos que el mínimo.",45000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","65.193","0","Nunca1","Siempre5","Nunca1","Nunca1","Nunca1","Nunca1","De forma automática pagando un monto diferente al total",NA,"No estoy seguro/a","No estoy seguro/a","$ 12.000","3","Mucho
7
","Compra en la tienda que está más lejos","Pensionado/a",NA,"De $500.001 a $1.000.000","Educación media completa","segun mi poder de compra y la necesidad de comprar algun producto que me haga falta en mi caso tengo mi tarjeta bancaria con la cual pago automaticamente mis cuentas y una tarjeta de tienda. (falabella)","4ba370a904b2323d_194fcf79a1c3965a_044bf447a47bf724_d8f25981d19674722ed053930e029701","Tint",282026,42304,"1000000","1","5","7727","244753","36973","273999","45000"
"100","449","True","ES","Sí","Sí","Usé 3 o más tarjetas de crédito","Hace menos de un mes","Total a pagar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.182","8.86","10.907","2","Total a pagar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10.755","22.306","23.156","2","Siempre5","Nunca1","Nunca1","Nunca1","Nunca1","Nunca1","De forma digital (aplicación o página Web) de su banco o casa comercial",NA,"Falso","Valdrían lo mismo","$ 1.000","5","Mucho
7
","Compra en la tienda","Empleado/a",NA,"De $500.001 a $1.000.000","Título universitario o técnico","Siempre suelo hacer compras programas y por ello trato de pagar el total de la deuda, para que esto no me descuadre el próximo mes de mis ingresos ","4f34f19b20f1b4fa_194fcf79a1c3965a_d9dc9324856330af_f473991b7667f918bbdb25cf4d389d7b","Cdeu",282026,42304,"1000000","1","4","9194","291220","39173","321199","0"
"100","281","True","ES","Sí","Sí","Usé 3 o más tarjetas de crédito","Hace menos de un mes","Otro monto:","12000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6.345","14.601","19.014","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Otro monto:",120000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.815","4.815","7.762","1","Casi siempre4","Casi siempre4","Casi nunca2","Nunca1","Casi nunca2","Casi nunca2","De forma digital (aplicación o página Web) de su banco o casa comercial",NA,"Falso","Valdrían lo mismo","$ 1.000","2","6","Compra en la tienda que está más lejos","Empleado/a",NA,"De $500.001 a $1.000.000","Título universitario o técnico","Pensando en mi saldo actual en el banco.","fcfc7456d1f534f5_194fcf79a1c3965a_540c2c8ac4650798_407aedd446ac1237a6c9b25284d55c2e","Cdeu",282026,42304,"1000000","2","3","8803","278829","38587","308613","12000"
"100","534","True","ES","Sí","Sí","Usé una sola tarjeta de crédito","Hace menos de un mes",NA,NA,NA,NA,"Otro monto:","60000",NA,NA,NA,NA,NA,NA,"11.562","18.501","23.103","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Otro monto:",60000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11.26","48.42","49.177","13","Casi siempre4","A veces3","Nunca1","Nunca1","Nunca1","Casi nunca2","De forma digital (aplicación o página Web) de su banco o casa comercial",NA,"Falso","$100.000 recibidos hoy y luego colocados en una cuenta de ahorros a una tasa del 10% de interés compuesto anualmente","$ 1.000","4","5","Compra en la tienda que está más lejos","Empleado/a",NA,"De $500.001 a $1.000.000","Estudios de Postgrado","En pagar el menos interés posible, pero quedarme con dinero en efectivo en caso de emergencia","87a2b2c521d3459a_194fcf79a1c3965a_d9dc9324856330af_0ae8b35e210770659ed186d10470afed","Cint",282026,42304,"211520","2","4","7238","229264","36239","258265","60000"
"100","404","True","ES","Sí","Sí","Usé 2 tarjetas de crédito","Hace más de 6 meses, pero menos de un año",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pago mínimo
Al pagar el mínimo, pagarás intereses adicionales pero evitarás gastos de cobranza.",NA,"9.774","29.749","30.892","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Otro monto:
A mayor monto, pagarás menos intereses adicionales. Pagarás gastos de cobranza si pagas menos que el mínimo.",60000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8.351","15.655","16.002","7","Casi siempre4","A veces3","A veces3","Nunca1","Nunca1","Casi nunca2","De forma digital (aplicación o página Web) de su banco o casa comercial",NA,"Falso","No estoy seguro/a","$ 12.000","5","4","Compra en la tienda","Empleado/a",NA,"De $500.001 a $1.000.000","Título universitario o técnico","Intereses ","87a6131167db4bd2_194fcf79a1c3965a_044bf447a47bf724_b1b835852d75178174031e7fc7baadac","Tint",282026,42304,"211520","1","4","9194","291220","39173","321199","0"
"100","444","True","ES","Sí","Sí","Usé una sola tarjeta de crédito","Hace menos de un mes",NA,NA,NA,NA,NA,NA,"
Total a pagar
Al pagar el total, evitarás intereses adicionales y gastos de cobranza.

",NA,NA,NA,NA,NA,"6.463","6.463","19.835","1",NA,NA,NA,NA,"Total a pagar
Al pagar el total, evitarás intereses adicionales y gastos de cobranza.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","19.261","0","Siempre5","Nunca1","Nunca1","Nunca1","Nunca1","Nunca1","De forma digital (aplicación o página Web) de su banco o casa comercial",NA,"Falso","$120.000 recibidos en dos años más (a partir de hoy)","$ 1.000","Nada
1
","Mucho
7
","Compra en la tienda","Empleado/a",NA,"De $1.500.001 a $2.000.000","Estudios de Postgrado","los ingresos al día de hoy, no me endeudo más de lo que puedo pagar
","20908f7f502d7a1d_194fcf79a1c3965a_d9dc9324856330af_a932a8883f95c7bd0fd36c50cd0225d8","Tdeu",282026,42304,"1000000","2","2","9194","291220","39173","321199","0"
"100","540","True","ES","Sí","Sí","Usé una sola tarjeta de crédito","Hace menos de un mes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Otro monto:
A mayor monto, pagarás menos intereses adicionales. Pagarás gastos de cobranza si pagas menos que el mínimo.
","100000","8.328","24.217","25.07","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Otro monto:
A mayor monto, pagarás menos intereses adicionales. Pagarás gastos de cobranza si pagas menos que el mínimo.",1e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.623","18.153","18.821","9","Casi siempre4","Casi siempre4","Casi nunca2","Nunca1","Nunca1","Casi nunca2","De forma digital (aplicación o página Web) de su banco o casa comercial",NA,"No estoy seguro/a","No estoy seguro/a","$ 2.000","3","Mucho
7
","Compra en la tienda","Dedicado/a a labores del hogar",NA,"Menos de $250.000","Título universitario o técnico","Siempre trato de pagar lo más que pueda y considerando también que trato de comprar en cuotas sin interes","12f6dd7c64c9338b_194fcf79a1c3965a_d9dc9324856330af_6c88f26c75eacfc8f7d74fbc56795601","Tdeu",282026,42304,"211520","2","3","5934","187960","34283","216309","100000"
"100","29","True","ES","Sí","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"452f46bc4f5d0389_194fcf79a1c3965a_a5bba52d8b1c1b9d_a3555725b98f4c5a6fdd835c0c298c58",NA,NA,NA,NA,"2","3",NA,NA,NA,NA,NA
"100","390","True","ES","Sí","Sí","Usé 2 tarjetas de crédito","Hace menos de un mes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Otro monto:
A mayor monto, pagarás menos intereses adicionales. Pagarás gastos de cobranza si pagas menos que el mínimo.
","150000","7.2","34.746","40.55","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Otro monto:
A mayor monto, pagarás menos intereses adicionales. Pagarás gastos de cobranza si pagas menos que el mínimo.",150000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","17.272","0","Casi siempre4","Casi nunca2","Nunca1","Casi nunca2","Nunca1","A veces3","De forma digital (aplicación o página Web) de su banco o casa comercial",NA,"Verdadero","No estoy seguro/a","$ 12.000","4","Mucho
7
","Compra en la tienda que está más lejos","Empleado/a",NA,"De $2.000.001 a $3.000.001","Algún estudio universitario o técnico (incompleto)","JUSTAMENTE PARA EVITAR AL AMXIMO LOS GASTO DE INTERESES O COBRANZA 
","4505bd43dd219084_194fcf79a1c3965a_d9dc9324856330af_a88be84d6333dcc93ea08b6a2aa550dd","Tdeu",282026,42304,"211520","1","2","4304","136330","31838","163864","150000"
"100","658","True","ES","Sí","Sí","Usé una sola tarjeta de crédito","Hace menos de un mes","Otro monto:","150000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6.56","27.23","28.322","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Otro monto:",150000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","10.569","0","Casi siempre4","A veces3","A veces3","A veces3","Nunca1","Nunca1","De forma digital (aplicación o página Web) de su banco o casa comercial",NA,"Falso","No estoy seguro/a","$ 12.000","Nada
1
","6","Compra en la tienda","Empleado/a",NA,"De $1.000.001 a $1.500.000","Algún estudio universitario o técnico (incompleto)","considero el total de la deuda y veo mi disponible y  lo que tengo para pagar, que variara en la medida de cuanto dinero tenga.","45ac4b1ffd295245_194fcf79a1c3965a_bbd4792453d0a6cd_b898f3d428665c2bd1341f4e6aa29d88","Cint",282026,42304,"1000000","1","4","4304","136330","31838","163864","150000"
"100","376","True","ES","Sí","Sí","Usé 3 o más tarjetas de crédito","Hace menos de un mes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Otro monto:
A mayor monto, pagarás menos intereses adicionales. Pagarás gastos de cobranza si pagas menos que el mínimo.
","200000","7.103","44.742","46.484","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Otro monto:
A mayor monto, pagarás menos intereses adicionales. Pagarás gastos de cobranza si pagas menos que el mínimo.",2e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8.225","18.247","19.262","5","A veces3","Casi siempre4","Casi nunca2","Nunca1","Nunca1","Casi siempre4","De forma digital (aplicación o página Web) de su banco o casa comercial",NA,"Falso","Valdrían lo mismo","$ 1.000","4","Mucho
7
","Compra en la tienda que está más lejos","Trabajador/a independiente",NA,"De $500.001 a $1.000.000","Educación media completa","El presupuesto total considerando alimentación salud y otros gastos.","7bffca9111f7d185_194fcf79a1c3965a_d9dc9324856330af_d5fb6463ec9c089c3d2a2a3db1b892e4","Tint",282026,42304,"211520","1","5","2674","84700","29393","111419","200000"
"100","488","True","ES","Sí","Sí","Usé 2 tarjetas de crédito","Hace menos de un mes","Total a pagar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12.302","12.302","14.237","1","Total a pagar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","6.554","0","Casi siempre4","Casi siempre4","Nunca1","Nunca1","Nunca1","Nunca1","De forma digital (aplicación o página Web) de su banco o casa comercial",NA,"Falso","$100.000 recibidos hoy y luego colocados en una cuenta de ahorros a una tasa del 10% de interés compuesto anualmente","$ 1.000","4","3","Compra en la tienda","Empleado/a",NA,"De $1.000.001 a $1.500.000","Estudios de Postgrado","Prefiero pagar deuda total si tengo capacidad para hacerlo, así no acumulo deuda para los meses siguientes.","cb3aff853dc4a869_194fcf79a1c3965a_b7898907d2975f55_a2f89d6aef2568fa1130e08b6d10228b","Cdeu",282026,42304,"1000000","1","3","9194","291220","39173","321199","0"
"100","461","True","ES","Sí","Sí","Usé 2 tarjetas de crédito","Hace menos de un mes","Total a pagar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.88","9.7","12.28","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total a pagar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10.901","10.901","12.942","1","Siempre5","Nunca1","Nunca1","Nunca1","Nunca1","Nunca1","De forma digital (aplicación o página Web) de su banco o casa comercial",NA,"Falso","$100.000 recibidos hoy y luego colocados en una cuenta de ahorros a una tasa del 10% de interés compuesto anualmente","$ 1.000","Nada
1
","Mucho
7
","Compra en la tienda que está más lejos","Trabajador/a independiente",NA,"De $2.000.001 a $3.000.001","Título universitario o técnico","Es conveniente pagar con tarjeta de crédito y luego pagar el total facturado, de lo contrario los intereses son altos y subirán mucho cuando se quiera pagar todo.","2148ac7f156663a1_194fcf79a1c3965a_d9dc9324856330af_8a26fade5f0adeb305f23aec9fd3c4fb","Cint",282026,42304,"1000000","1","2","9194","291220","39173","321199","0"
"100","107","True","ES","Sí","Sí","No tengo o no he usado tarjeta de crédito","No tengo o no uso tarjeta de crédito",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"205828253c2d6257_194fcf79a1c3965a_044bf447a47bf724_fc128cf7be11fc5eb6619fbf2ed4e5f5",NA,NA,NA,NA,"2","4",NA,NA,NA,NA,NA
"100","1588","True","ES","Sí","Sí","Usé una sola tarjeta de crédito","Hace menos de un mes",NA,NA,NA,NA,"Pago mínimo",NA,NA,NA,NA,NA,NA,NA,"12.241","186.471","187.499","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pago mínimo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.866","152.902","153.572","47","Siempre5","Siempre5","Nunca1","Nunca1","Nunca1","Nunca1","De forma digital (aplicación o página Web) de su banco o casa comercial",NA,"No estoy seguro/a","No estoy seguro/a","No estoy seguro","4","Mucho
7
","Compra en la tienda que está más lejos","Empleado/a",NA,"De $500.001 a $1.000.000","Educación media completa","Bueno, siempre compro a medida del presupuesto que tengo...para no pagar el minimo
","13cccf527369a52a_194fcf79a1c3965a_044bf447a47bf724_138a4b12f95b6f3e430d6a3b31beb856","Cint",282026,42304,"211520","2","5","9194","291220","39173","321199","0"
"100","596","True","ES","Sí","Sí","Usé una sola tarjeta de crédito","Hace menos de un mes","Otro monto:","100000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.465","5.8","11.512","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Otro monto:",1e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6.186","8.583","9.849","4","Siempre5","Casi siempre4","A veces3","Nunca1","A veces3","Nunca1","De forma digital (aplicación o página Web) de su banco o casa comercial",NA,"No estoy seguro/a","No estoy seguro/a","$ 12.000","Nada
1
","Mucho
7
","Compra en la tienda","Trabajador/a independiente",NA,"De $500.001 a $1.000.000","Estudios de Postgrado","Siempre intento pagar más de la cuota, prefiero salir cuanto antes de la deuda total. De todas maneras la tarjeta es un círculo del que es muy difícil salir, debido a todos los gastos asociados que existen.","c3ad27a77af8b0bd_194fcf79a1c3965a_d9dc9324856330af_d94a503635fc9090e9ee288bfb70a120","Cint",282026,42304,"1000000","1","4","5934","187960","34283","216309","100000"
